D:\Anaconda3\envs\bigcn\python.exe D:/liuqiang/MAGNN/run_LastFM.py
Using backend: pytorch
program start at  time.struct_time(tm_year=2020, tm_mon=11, tm_mday=30, tm_hour=16, tm_min=16, tm_sec=47, tm_wday=0, tm_yday=335, tm_isdst=0)
train iteration count of each epoch :8123 ,val iteration count of each epoch: 1161
D:\Anaconda3\envs\bigcn\lib\site-packages\dgl\base.py:45: DGLWarning: Recommend creating graphs by `dgl.graph(data)` instead of `dgl.DGLGraph(data)`.
  return warnings.warn(message, category=category, stacklevel=1)
D:\Anaconda3\envs\bigcn\lib\site-packages\dgl\base.py:45: DGLWarning: Keyword arguments ['multigraph'] are deprecated in v0.5, and can be safely removed in all cases.
  return warnings.warn(message, category=category, stacklevel=1)
Epoch 00001 | Iteration 03700 | Train_Loss 0.0022 | Time1(s) 0.9528 | Time2(s) 0.0568 | Time3(s) 0.0821
Epoch 00001 | Iteration 03800 | Train_Loss 0.0008 | Time1(s) 0.9529 | Time2(s) 0.0568 | Time3(s) 0.0822
Epoch 00001 | Iteration 03900 | Train_Loss 0.0024 | Time1(s) 0.9531 | Time2(s) 0.0568 | Time3(s) 0.0822
Epoch 00001 | Iteration 04000 | Train_Loss 0.0026 | Time1(s) 0.9530 | Time2(s) 0.0568 | Time3(s) 0.0823
Epoch 00001 | Iteration 04100 | Train_Loss 0.0004 | Time1(s) 0.9531 | Time2(s) 0.0569 | Time3(s) 0.0823
Epoch 00001 | Iteration 04200 | Train_Loss 0.0004 | Time1(s) 0.9533 | Time2(s) 0.0569 | Time3(s) 0.0824
Epoch 00001 | Iteration 04300 | Train_Loss 0.0145 | Time1(s) 0.9533 | Time2(s) 0.0569 | Time3(s) 0.0825
Epoch 00001 | Iteration 04400 | Train_Loss 0.1295 | Time1(s) 0.9535 | Time2(s) 0.0569 | Time3(s) 0.0825
Epoch 00001 | Iteration 04500 | Train_Loss 0.1684 | Time1(s) 0.9536 | Time2(s) 0.0569 | Time3(s) 0.0826
Epoch 00001 | Iteration 04600 | Train_Loss 0.0167 | Time1(s) 0.9538 | Time2(s) 0.0569 | Time3(s) 0.0826
Epoch 00001 | Iteration 04700 | Train_Loss 0.0015 | Time1(s) 0.9539 | Time2(s) 0.0569 | Time3(s) 0.0827
Epoch 00001 | Iteration 04800 | Train_Loss 0.0079 | Time1(s) 0.9538 | Time2(s) 0.0569 | Time3(s) 0.0827
Epoch 00001 | Iteration 04900 | Train_Loss 0.0306 | Time1(s) 0.9558 | Time2(s) 0.0569 | Time3(s) 0.0826
Epoch 00001 | Iteration 05000 | Train_Loss 0.0144 | Time1(s) 0.9552 | Time2(s) 0.0568 | Time3(s) 0.0827
Epoch 00001 | Iteration 05100 | Train_Loss 0.0038 | Time1(s) 0.9550 | Time2(s) 0.0568 | Time3(s) 0.0828
Epoch 00001 | Iteration 05200 | Train_Loss 0.0044 | Time1(s) 0.9545 | Time2(s) 0.0568 | Time3(s) 0.0828
Epoch 00001 | Iteration 05300 | Train_Loss 0.0049 | Time1(s) 0.9541 | Time2(s) 0.0568 | Time3(s) 0.0829
Epoch 00001 | Iteration 05400 | Train_Loss 0.1443 | Time1(s) 0.9535 | Time2(s) 0.0567 | Time3(s) 0.0830
Epoch 00001 | Iteration 05500 | Train_Loss 0.0007 | Time1(s) 0.9533 | Time2(s) 0.0567 | Time3(s) 0.0828
Epoch 00001 | Iteration 05600 | Train_Loss 0.0042 | Time1(s) 0.9530 | Time2(s) 0.0567 | Time3(s) 0.0827
Epoch 00001 | Iteration 05700 | Train_Loss 0.0017 | Time1(s) 0.9529 | Time2(s) 0.0567 | Time3(s) 0.0826
Epoch 00001 | Iteration 05800 | Train_Loss 0.0209 | Time1(s) 0.9526 | Time2(s) 0.0567 | Time3(s) 0.0825
Epoch 00001 | Iteration 05900 | Train_Loss 0.0030 | Time1(s) 0.9524 | Time2(s) 0.0566 | Time3(s) 0.0824
Epoch 00001 | Iteration 06000 | Train_Loss 0.0004 | Time1(s) 0.9522 | Time2(s) 0.0566 | Time3(s) 0.0823
Epoch 00001 | Iteration 06100 | Train_Loss 1.0441 | Time1(s) 0.9518 | Time2(s) 0.0566 | Time3(s) 0.0822
Epoch 00001 | Iteration 06200 | Train_Loss 1.0474 | Time1(s) 0.9516 | Time2(s) 0.0566 | Time3(s) 0.0821
Epoch 00001 | Iteration 06300 | Train_Loss 0.0964 | Time1(s) 0.9512 | Time2(s) 0.0566 | Time3(s) 0.0820
Epoch 00001 | Iteration 06400 | Train_Loss 0.0107 | Time1(s) 0.9509 | Time2(s) 0.0566 | Time3(s) 0.0819
Epoch 00001 | Iteration 06500 | Train_Loss 0.0000 | Time1(s) 0.9505 | Time2(s) 0.0565 | Time3(s) 0.0818
Epoch 00001 | Iteration 06600 | Train_Loss 0.0018 | Time1(s) 0.9503 | Time2(s) 0.0565 | Time3(s) 0.0817
Epoch 00001 | Iteration 06700 | Train_Loss 0.0008 | Time1(s) 0.9498 | Time2(s) 0.0565 | Time3(s) 0.0816
Epoch 00001 | Iteration 06800 | Train_Loss 0.0001 | Time1(s) 0.9495 | Time2(s) 0.0565 | Time3(s) 0.0815
Epoch 00001 | Iteration 06900 | Train_Loss 0.0039 | Time1(s) 0.9493 | Time2(s) 0.0565 | Time3(s) 0.0814
Epoch 00001 | Iteration 07000 | Train_Loss 0.0006 | Time1(s) 0.9491 | Time2(s) 0.0564 | Time3(s) 0.0813
Epoch 00001 | Iteration 07100 | Train_Loss 0.0245 | Time1(s) 0.9490 | Time2(s) 0.0564 | Time3(s) 0.0812
Epoch 00001 | Iteration 07200 | Train_Loss 0.0068 | Time1(s) 0.9487 | Time2(s) 0.0564 | Time3(s) 0.0811
Epoch 00001 | Iteration 07300 | Train_Loss 0.0244 | Time1(s) 0.9482 | Time2(s) 0.0564 | Time3(s) 0.0811
Epoch 00001 | Iteration 07400 | Train_Loss 0.0001 | Time1(s) 0.9479 | Time2(s) 0.0564 | Time3(s) 0.0810
Epoch 00001 | Iteration 07500 | Train_Loss 0.0935 | Time1(s) 0.9474 | Time2(s) 0.0563 | Time3(s) 0.0809
Epoch 00001 | Iteration 07600 | Train_Loss 0.0040 | Time1(s) 0.9471 | Time2(s) 0.0563 | Time3(s) 0.0808
Epoch 00001 | Iteration 07700 | Train_Loss 0.0045 | Time1(s) 0.9468 | Time2(s) 0.0563 | Time3(s) 0.0807
Epoch 00001 | Iteration 07800 | Train_Loss 0.0170 | Time1(s) 0.9463 | Time2(s) 0.0563 | Time3(s) 0.0806
Epoch 00001 | Iteration 07900 | Train_Loss 0.0021 | Time1(s) 0.9459 | Time2(s) 0.0563 | Time3(s) 0.0805
Epoch 00001 | Iteration 08000 | Train_Loss 0.0925 | Time1(s) 0.9455 | Time2(s) 0.0562 | Time3(s) 0.0804
Epoch 00001 | Iteration 08100 | Train_Loss 0.0039 | Time1(s) 0.9451 | Time2(s) 0.0562 | Time3(s) 0.0803
Epoch 00001 | Val_Loss 0.1223 | Time(s) 9919.5518
Validation loss decreased (0.130722 --> 0.122342).  Saving model ...
Epoch 00002 | Iteration 00000 | Train_Loss 0.0873 | Time1(s) 0.9450 | Time2(s) 0.0562 | Time3(s) 0.0803
Epoch 00002 | Iteration 00100 | Train_Loss 0.0098 | Time1(s) 0.9447 | Time2(s) 0.0562 | Time3(s) 0.0804
Epoch 00002 | Iteration 00200 | Train_Loss 0.0170 | Time1(s) 0.9443 | Time2(s) 0.0562 | Time3(s) 0.0805
Epoch 00002 | Iteration 00300 | Train_Loss 0.0239 | Time1(s) 0.9439 | Time2(s) 0.0562 | Time3(s) 0.0805
Epoch 00002 | Iteration 00400 | Train_Loss 0.0052 | Time1(s) 0.9436 | Time2(s) 0.0561 | Time3(s) 0.0806
Epoch 00002 | Iteration 00500 | Train_Loss 0.1653 | Time1(s) 0.9432 | Time2(s) 0.0561 | Time3(s) 0.0807
Epoch 00002 | Iteration 00600 | Train_Loss 0.0726 | Time1(s) 0.9428 | Time2(s) 0.0561 | Time3(s) 0.0807
Epoch 00002 | Iteration 00700 | Train_Loss 0.0192 | Time1(s) 0.9425 | Time2(s) 0.0561 | Time3(s) 0.0808
Epoch 00002 | Iteration 00800 | Train_Loss 0.0008 | Time1(s) 0.9422 | Time2(s) 0.0561 | Time3(s) 0.0809
Epoch 00002 | Iteration 00900 | Train_Loss 0.0100 | Time1(s) 0.9418 | Time2(s) 0.0560 | Time3(s) 0.0809
Epoch 00002 | Iteration 01000 | Train_Loss 0.0752 | Time1(s) 0.9416 | Time2(s) 0.0560 | Time3(s) 0.0810
Epoch 00002 | Iteration 01100 | Train_Loss 0.0043 | Time1(s) 0.9411 | Time2(s) 0.0560 | Time3(s) 0.0811
Epoch 00002 | Iteration 01200 | Train_Loss 0.0024 | Time1(s) 0.9408 | Time2(s) 0.0560 | Time3(s) 0.0811
Epoch 00002 | Iteration 01300 | Train_Loss 0.0241 | Time1(s) 0.9406 | Time2(s) 0.0560 | Time3(s) 0.0812
